ClaimRef,PolicyNo,LossDate,ReportDate,Status,PerilCode,Region,Handler,PaidGBP,OutstandingGBP
BRD-2025M11-000001,POL-4631951,13-Sep-25,04/10/2025,O,AD,South,AER,£173.56,£290.92
BRD-2025M11-000002,POL-3354585,03/04/2025,03/04/2025,C,WS,Midlands,RCD,£5926.96,0.00
BRD-2025M11-000003,POL-4796060,23/08/2025,23/08/2025,C,TPPD,London,KCS,429.65,-
BRD-2025M11-000004,POL-5984199,2025-03-15,22/03/2025,closed,AD,South,SNE,£4069.70,
BRD-2025M11-000005,POL-5991096,2025-09-26,08/10/2025,O,TPPD,South,PND,£926.41,2460.75
BRD-2025M11-000006,POL-7815242,2024-04-09,29/04/2024,RO,AD,South,ATA,£171.76,£209.20
BRD-2025M11-000007,POL-7321423,29/11/2025,30/11/2025,CWP,WS,London,FPF,0.00,
BRD-2025M11-000008,POL-2858832,2025-04-04,30/04/2025,O,TPBI,London,STM,£1067.31,£2520.31
BRD-2025M11-000009,POL-8555444,18/06/2025,22/06/2025,C ,TH,Midlands,SLD,603.42,
BRD-2025M11-000010,POL-2155400,16/01/2025,21/02/2025,OPEN,AD,North,KKR,£1378.30,£618.33
BRD-2025M11-000011,POL-6991577,2025-03-11,01/04/2025,C,TPPD,London,LAB,£1410.82,
BRD-2025M11-000012,POL-5923156,04/11/2025,05/11/2025,CWP,TPBI,Midlands,HCE,0.00,0.00
BRD-2025M11-000013,POL-2740141,2025-04-29,29/04/2025,O,TPPD,North,NNR,£996.36,£731.95
BRD-2025M11-000014,POL-9839303,18/02/2025,16/04/2025,closed,FI,Midlands,FJH,£12692.77,-
BRD-2025M11-000015,POL-8791493,28-Aug-25,29/08/2025,O,AD,London,KNG,£178.80,572.20
BRD-2025M11-000016,POL-4349453,19/11/2025,30/11/2025,O,WS,London,NTW,£82.40,998.87
BRD-2025M11-000017,POL-6740905,12/12/2024,21/12/2024,C,TH,Scotland,HFJ,£2934.19,
