claim_ref,policy_no,loss_date,report_date,status,peril_code,region,paid_gbp,outstanding_gbp,incurred_gbp
BRD-2025M12-000002,POL-8339688,2025-03-08,2025-04-15,Closed,WS,London,1960.99,0.00,1960.99
BRD-2025M12-000003,POL-9148637,2025-11-05,2025-12-08,Closed,TH,South,4025.79,0.00,4025.79
BRD-2025M12-000004,POL-5774823,2025-11-10,2025-11-11,Open,TPBI,South,1005.32,506.14,1511.46
BRD-2025M12-000005,POL-4132786,2025-10-08,2025-10-22,Open,FI,London,55.10,820.09,875.19
BRD-2025M12-000006,POL-7703735,2025-11-27,2025-12-31,Closed,WS,North,3314.61,0.00,3314.61
BRD-2025M12-000007,POL-4775518,2025-08-30,2025-09-05,Open,TPPD,South,352.40,241.24,593.64
BRD-2025M12-000008,POL-6277115,2025-11-17,2025-12-17,Closed,TPPD,North,1827.75,0.00,1827.75
BRD-2025M12-000009,POL-5283086,2025-08-14,2025-08-17,Closed,WS,Midlands,7347.36,0.00,7347.36
BRD-2025M12-000010,POL-8324450,2025-11-30,,Closed,TH,South,612.98,0.00,612.98
BRD-2025M12-000011,POL-9612071,2025-06-26,2025-07-24,ClosedWithoutPayment,TPPD,London,0.00,0.00,0.00
BRD-2025M12-000012,POL-1505361,2024-12-18,2024-12-20,Closed,TPBI,London,708.26,0.00,708.26
BRD-2025M12-000013,POL-6278388,2025-06-24,2025-06-26,Closed,TPPD,North,4870.16,0.00,4870.16
BRD-2025M12-000014,POL-3054027,2025-10-03,2025-10-03,Closed,WS,London,1641.78,0.00,1641.78
BRD-2025M12-000015,POL-2773676,2024-11-28,2024-11-28,ClosedWithoutPayment,TPPD,Midlands,0.00,0.00,0.00
BRD-2025M12-000016,POL-6499185,2025-07-12,2025-07-24,Open,WS,London,647.32,624.63,1271.95
BRD-2025M12-000017,POL-3085767,2025-04-12,2025-04-16,ClosedWithoutPayment,AD,North,0.00,0.00,0.00
BRD-2025M12-000018,POL-7320529,2025-04-19,2025-05-18,Closed,TH,London,667.02,0.00,667.02
BRD-2025M12-000019,POL-8325789,2025-12-30,2025-12-31,Closed,AD,North,375.60,0.00,375.60
BRD-2025M12-000020,POL-4448830,2025-10-02,2025-11-04,Closed,WS,London,2919.63,0.00,2919.63
BRD-2025M12-000021,POL-8146035,2024-12-20,2025-01-02,Closed,TPBI,Scotland,1741.04,0.00,1741.04
BRD-2025M12-000022,POL-9848311,2025-04-14,2025-05-18,Open,TPPD,Midlands,1330.67,18316.57,19647.24
BRD-2025M12-000023,POL-2639952,2025-06-07,2025-06-13,Open,AD,London,39.80,188.96,228.76
BRD-2025M12-000024,POL-8312276,2025-08-08,2025-08-08,Closed,TPPD,South,3713.76,0.00,3713.76
BRD-2025M12-000025,POL-5135205,2025-09-05,2025-09-07,Open,FI,Midlands,904.94,1195.96,2100.90
BRD-2025M12-000026,POL-1030620,2025-09-11,2025-09-11,Closed,TPPD,London,2383.46,0.00,2383.46
BRD-2025M12-000027,POL-5711698,2025-04-01,2025-04-18,Closed,TPBI,London,2586.99,0.00,2586.99
BRD-2025M12-000028,POL-6423657,2024-07-20,2024-07-21,Closed,TPBI,South,12361.65,0.00,12361.65
BRD-2025M12-000029,POL-1347354,2025-08-15,2025-08-17,Closed,WS,North,2023.84,0.00,2023.84
BRD-2025M12-000030,POL-6577590,2024-12-20,2024-12-22,Open,AD,North,1276.11,2174.67,3450.78
BRD-2025M12-000031,POL-4961201,2025-07-23,2025-07-23,Closed,AD,London,2053.50,0.00,2053.50
BRD-2025M12-000032,POL-3820223,2025-10-26,2025-11-30,ClosedWithoutPayment,TPPD,North,0.00,0.00,0.00
BRD-2025M12-000033,POL-5326253,2025-05-12,2025-06-02,Closed,TPPD,Midlands,2152.26,0.00,2152.26
BRD-2025M12-000034,POL-9359301,2024-07-14,2024-07-27,Open,FI,Scotland,389.47,488.17,877.64
BRD-2025M12-000035,POL-2919423,2025-10-08,2025-10-12,Closed,FI,London,520.97,0.00,520.97
