claim_id,policy_segment,peril,accident_date,report_date,transaction_date,dev_month,transaction_type,transaction_amount,large_loss_flag,line_of_business,region,channel
CLM-0003427,MOT-LON-BRK,TP_Damage,2024-02-24,2024-02-24,2024-02-24,0,RESERVE_CHANGE,12092.11,False,Motor,London,Broker
CLM-0003427,MOT-LON-BRK,TP_Damage,2024-02-24,2024-02-24,2024-08-22,6,PAYMENT,12121.8,False,Motor,London,Broker
CLM-0003427,MOT-LON-BRK,TP_Damage,2024-02-24,2024-02-24,2024-08-22,6,RESERVE_CHANGE,-12092.11,False,Motor,London,Broker
CLM-0003428,MOT-LON-BRK,Windscreen,2024-03-15,2024-03-16,2024-03-16,0,RESERVE_CHANGE,1357.69,False,Motor,London,Broker
CLM-0003428,MOT-LON-BRK,Windscreen,2024-03-15,2024-03-16,2024-09-12,6,PAYMENT,840.1,False,Motor,London,Broker
CLM-0003428,MOT-LON-BRK,Windscreen,2024-03-15,2024-03-16,2024-09-12,6,RESERVE_CHANGE,-764.85,False,Motor,London,Broker
CLM-0003428,MOT-LON-BRK,Windscreen,2024-03-15,2024-03-16,2024-10-12,7,PAYMENT,556.47,False,Motor,London,Broker
CLM-0003428,MOT-LON-BRK,Windscreen,2024-03-15,2024-03-16,2024-10-12,7,RESERVE_CHANGE,-556.47,False,Motor,London,Broker
CLM-0003428,MOT-LON-BRK,Windscreen,2024-03-15,2024-03-16,2025-02-09,11,PAYMENT,36.36,False,Motor,London,Broker
CLM-0003428,MOT-LON-BRK,Windscreen,2024-03-15,2024-03-16,2025-02-09,11,RESERVE_CHANGE,-36.36,False,Motor,London,Broker
CLM-0003429,MOT-LON-BRK,TP_Damage,2024-01-20,2024-01-29,2024-01-29,0,RESERVE_CHANGE,4619.5,False,Motor,London,Broker
CLM-0003429,MOT-LON-BRK,TP_Damage,2024-01-20,2024-01-29,2024-04-08,3,RESERVE_CHANGE,-4619.5,False,Motor,London,Broker
CLM-0003430,MOT-LON-BRK,TP_Damage,2024-01-04,2024-01-06,2024-01-06,0,RESERVE_CHANGE,1882.54,False,Motor,London,Broker
CLM-0003430,MOT-LON-BRK,TP_Damage,2024-01-04,2024-01-06,2024-03-06,2,PAYMENT,939.88,False,Motor,London,Broker
CLM-0003430,MOT-LON-BRK,TP_Damage,2024-01-04,2024-01-06,2024-03-06,2,RESERVE_CHANGE,-1020.78,False,Motor,London,Broker
CLM-0003430,MOT-LON-BRK,TP_Damage,2024-01-04,2024-01-06,2025-08-28,19,PAYMENT,861.75,False,Motor,London,Broker
CLM-0003430,MOT-LON-BRK,TP_Damage,2024-01-04,2024-01-06,2025-08-28,19,RESERVE_CHANGE,-861.75,False,Motor,London,Broker
CLM-0003431,MOT-LON-BRK,Windscreen,2024-01-21,2024-01-25,2024-01-25,0,RESERVE_CHANGE,2208.59,False,Motor,London,Broker
CLM-0003431,MOT-LON-BRK,Windscreen,2024-01-21,2024-01-25,2024-05-24,4,PAYMENT,397.51,False,Motor,London,Broker
CLM-0003431,MOT-LON-BRK,Windscreen,2024-01-21,2024-01-25,2024-05-24,4,RESERVE_CHANGE,-162.88,False,Motor,London,Broker
CLM-0003431,MOT-LON-BRK,Windscreen,2024-01-21,2024-01-25,2024-08-22,7,PAYMENT,46.81,False,Motor,London,Broker
CLM-0003431,MOT-LON-BRK,Windscreen,2024-01-21,2024-01-25,2024-08-22,7,RESERVE_CHANGE,-46.81,False,Motor,London,Broker
CLM-0003431,MOT-LON-BRK,Windscreen,2024-01-21,2024-01-25,2025-01-19,12,PAYMENT,858.87,False,Motor,London,Broker
CLM-0003431,MOT-LON-BRK,Windscreen,2024-01-21,2024-01-25,2025-01-19,12,RESERVE_CHANGE,-858.87,False,Motor,London,Broker
CLM-0003431,MOT-LON-BRK,Windscreen,2024-01-21,2024-01-25,2025-12-15,23,PAYMENT,1140.03,False,Motor,London,Broker
CLM-0003431,MOT-LON-BRK,Windscreen,2024-01-21,2024-01-25,2025-12-15,23,RESERVE_CHANGE,-1140.03,False,Motor,London,Broker
